date;LY;REG1_Semaine;REG2_Semaine;REG2_Samedi;REG3_Lundi;REG3_Semaine;REG3_Samedi;REG5_Lundi;REG5_Mardi;REG5_Mercredi;REG5_Jeudi;REG5_Vendredi;REG6_Lundi;REG6_Mardi;REG6_Mercredi;REG6_Jeudi;REG6_Vendredi;REG6_Samedi
2012-04-01;1.55431E-15;-2.19419540889634;-5.19004927239372;-1.19834154539895;-0.401520689466173;-4.78852858292754;-1.19834154539895;0.197650083233303;-0.599170772699477;-0.599170772699477;-0.59433317403121;-0.599170772699477;-0.401520689466173;-1.19834154539895;-1.19834154539895;-1.19350394673069;-1.19834154539895;-1.19834154539895
2012-05-01;1.11022E-15;-0.512091360179401;-1.5921566174504;-0.4320261029084;-0.82248867070674;-0.769667946743656;-0.4320261029084;-0.606475619252541;-1.2160130514542;0.7839869485458;0.742423413435741;-0.2160130514542;-0.82248867070674;-1.4320261029084;0.5679738970916;0.526410361981542;-0.4320261029084;-0.4320261029084
2012-06-01;1.77636E-15;-0.0048402351595378;3.56313102544079;1.42718850424013;0.817651072038472;2.74547995340231;1.42718850424013;0.104056819918407;-0.286405747879934;-0.286405747879934;-0.249679811438144;0.713594252120066;0.817651072038472;0.427188504240131;0.427188504240131;0.463914440681922;1.42718850424013;1.42718850424013
2012-07-01;8.88178E-16;2;-3;-2;0;-3;-2;1;1;0;0;0;0;0;-1;-1;-1;-2
2012-08-01;7.77156E-16;2;2;0;0;2;0;0;0;0;1;1;0;0;0;1;1;0
2012-09-01;1.77636E-15;-5;-5;0;-1;-4;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0
2012-10-01;8.88178E-16;3;3;0;1;2;0;1;1;1;0;0;1;1;1;0;0;0
2012-11-01;1.94289E-15;3.5;6;1;1;5;1;0.5;0.5;0.5;0.5;1.5;1;1;1;1;2;1
2012-12-01;9.99201E-16;-5;-5;0;0;-5;0;0;-2;-1;-1;-1;0;-2;-1;-1;-1;0
2013-01-01;-1.11022E-16;2;2;0;0;2;0;0;0;1;1;0;0;0;1;1;0;0
2013-02-01;-0.242142857;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-03-01;8.88178E-16;-3.28887299576473;-2.78092513559668;0.20317914406722;-0.59364171186556;-2.18728342373112;0.20317914406722;-0.69523128389917;-0.89841042796639;-0.89841042796639;-0.89841042796639;0.10158957203361;-0.59364171186556;-0.79682085593278;-0.79682085593278;-0.79682085593278;0.20317914406722;0.20317914406722
2013-04-01;1.77636E-15;1.30580459110366;0.809950727606282;-0.198341545398953;0.598479310533827;0.211471417072456;-0.198341545398953;0.697650083233303;0.900829227300523;-0.0991707726994768;-0.0943331740312097;-0.0991707726994768;0.598479310533827;0.801658454601047;-0.198341545398953;-0.193503946730686;-0.198341545398953;-0.198341545398953
2013-05-01;8.88178E-16;-0.512091360179401;-1.5921566174504;-0.4320261029084;-0.82248867070674;-0.769667946743656;-0.4320261029084;-0.606475619252541;-0.2160130514542;-1.2160130514542;0.742423413435741;0.7839869485458;-0.82248867070674;-0.4320261029084;-1.4320261029084;0.526410361981542;0.5679738970916;-0.4320261029084
2013-06-01;1.77636E-15;-3.50484023515954;-2.43686897455921;0.427188504240131;-0.182348927961528;-2.25452004659769;0.427188504240131;-0.395943180081593;-0.786405747879934;-0.786405747879934;-0.749679811438144;-0.786405747879934;-0.182348927961528;-0.572811495759869;-0.572811495759869;-0.536085559318079;-0.572811495759869;0.427188504240131
2013-07-01;7.77156E-16;5.5;8;1;2;6;1;1.5;1.5;1.5;0.5;0.5;2;2;2;1;1;1
2013-08-01;7.77156E-16;-1.5;1;1;0;1;1;-0.5;-0.5;-0.5;-0.500000000000001;0.5;0;0;0;0;1;1
2013-09-01;1.77636E-15;-1.5;-4;-1;0;-4;-1;0.5;-0.5;-0.5;-0.5;-0.5;0;-1;-1;-1;-1;-1
2013-10-01;8.88178E-16;3;3;0;0;3;0;0;1;1;1;0;0;1;1;1;0;0
2013-11-01;1.66533E-15;-3.5;-1;1;-1;0;1;-1.5;-0.5;-0.5;-0.5;-0.5;-1;0;0;0;0;1
2013-12-01;8.88178E-16;-1.5;-4;-1;0;-4;-1;0.5;0.5;-1.5;-0.5;-0.5;0;0;-2;-1;-1;-1
2014-01-01;0;2;2;0;0;2;0;0;0;0;1;1;0;0;0;1;1;0
2014-02-01;-0.242142857;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014-03-01;8.88178E-16;-3.28887299576473;-2.78092513559668;0.20317914406722;0.40635828813444;-3.18728342373112;0.20317914406722;0.30476871610083;-0.89841042796639;-0.89841042796639;-0.89841042796639;-0.89841042796639;0.40635828813444;-0.79682085593278;-0.79682085593278;-0.79682085593278;-0.79682085593278;0.20317914406722
